time,pm10,pm2_5,ozone,nitrogen_dioxide,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,rain,hour,day_of_week,month,hour_sin,hour_cos,month_sin,month_cos,is_holiday,pm2_5_lag_1,pm2_5_lag_2,pm2_5_lag_3,pm2_5_lag_4,pm2_5_lag_5,pm2_5_lag_6,pm2_5_lag_7,pm2_5_lag_8,pm2_5_lag_9,pm2_5_lag_10,pm2_5_lag_11,pm2_5_lag_12,pm2_5_lag_13,pm2_5_lag_14,pm2_5_lag_15,pm2_5_lag_16,pm2_5_lag_17,pm2_5_lag_18,pm2_5_lag_19,pm2_5_lag_20,pm2_5_lag_21,pm2_5_lag_22,pm2_5_lag_23,pm2_5_lag_24,pm2_5_lag_25,pm2_5_lag_26,pm2_5_lag_27,pm2_5_lag_28,pm2_5_lag_29,pm2_5_lag_30,pm2_5_lag_31,pm2_5_lag_32,pm2_5_lag_33,pm2_5_lag_34,pm2_5_lag_35,pm2_5_lag_36,pm2_5_lag_37,pm2_5_lag_38,pm2_5_lag_39,pm2_5_lag_40,pm2_5_lag_41,pm2_5_lag_42,pm2_5_lag_43,pm2_5_lag_44,pm2_5_lag_45,pm2_5_lag_46,pm2_5_lag_47,pm2_5_lag_48,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,weather_Clear,weather_Clouds
2025-03-03 00:00:00,36.6,31.5,0.0,81.9,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,0,0,3,0.0,1.0,1.0,6.123233995736766e-17,0,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,15.3,22.9,24.0,25.0,23.3,22.9,30.983333333333334,3.002943000901997,23.125,8.630719447521058,25.5,7.285721592981351,False,True
2025-03-03 01:00:00,39.7,31.1,0.0,81.1,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,1,0,3,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,15.3,22.9,24.0,25.0,23.3,31.916666666666668,1.4005951116101523,24.533333333333335,8.418198180493293,25.825,7.356939935692776,False,True
2025-03-03 02:00:00,39.1,32.8,0.0,81.2,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,2,0,3,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,15.3,22.9,24.0,25.0,32.416666666666664,0.9600347215940878,26.208333333333332,7.8286720496266815,26.145833333333332,7.490630621079189,False,True
2025-03-03 03:00:00,40.5,35.4,0.0,76.1,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,3,0,3,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,0,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,15.3,22.9,24.0,32.9,1.5556349186102616,28.066666666666666,7.041349732871249,26.52916666666667,7.725253853528,False,True
2025-03-03 04:00:00,42.4,37.6,0.0,70.6,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,4,0,3,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0,35.4,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,15.3,22.9,33.550000000000004,2.4905822612392345,29.899999999999995,6.328291454039761,26.97083333333333,8.049546526069793,False,True
2025-03-03 05:00:00,44.2,39.3,0.0,65.9,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,5,0,3,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0,37.6,35.4,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,15.3,34.61666666666667,3.371300441471536,31.816666666666666,5.220907850927721,27.483333333333334,8.433868918090687,False,True
2025-03-03 06:00:00,46.3,41.1,0.0,66.6,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,6,0,3,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,39.3,37.6,35.4,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,14.5,36.21666666666666,3.8415708592535616,33.6,4.275086389345079,28.033333333333335,8.880788579687133,False,True
2025-03-03 07:00:00,48.1,42.5,0.0,72.0,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,7,0,3,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0,41.1,39.3,37.6,35.4,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,16.4,38.11666666666667,3.617411597629735,35.016666666666666,4.162130864513181,28.541666666666668,9.352791569629225,False,True
2025-03-03 08:00:00,48.9,42.7,3.0,74.6,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,8,0,3,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0,42.5,41.1,39.3,37.6,35.4,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,15.4,39.766666666666666,2.8925190866554513,36.09166666666666,4.3537775308206434,28.941666666666666,9.752944557221262,False,True
2025-03-03 09:00:00,50.4,40.8,7.0,72.1,11.25,10.02,61.0,1028.0,3.42,93.0,21.0,Clouds,0.0,9,0,3,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0,42.7,42.5,41.1,39.3,37.6,35.4,32.8,31.1,31.5,32.9,33.7,32.5,29.8,25.5,19.7,16.3,15.6,13.1,12.7,14.2,18.8,25.3,34.2,36.3,33.1,30.3,27.9,27.0,27.0,26.2,25.1,23.3,23.2,23.0,21.4,20.2,18.3,15.9,11.9,8.2,7.3,7.7,9.6,12.7,13.5,15.7,15.2,15.6,40.666666666666664,1.947990417498523,36.78333333333334,4.390451070910654,29.129166666666666,9.941982969323515,False,True
