time,temp,humidity,pressure,wind_speed
2025-04-14 00:00:00,8.17,81,1006,2.56
2025-04-14 03:00:00,7.13,86,1007,1.82
2025-04-14 06:00:00,7.14,84,1007,1.42
2025-04-14 09:00:00,12.12,62,1007,3.7
2025-04-14 12:00:00,15.62,46,1005,5.15
2025-04-14 15:00:00,13.64,56,1003,5.01
2025-04-14 18:00:00,13.22,66,1001,3.25
2025-04-14 21:00:00,11.97,73,1000,2.69
2025-04-15 00:00:00,10.38,93,998,1.77
2025-04-15 03:00:00,10.35,95,995,1.51
2025-04-15 06:00:00,10.35,95,995,2.16
2025-04-15 09:00:00,12.34,80,995,2.3
2025-04-15 12:00:00,16.52,51,995,3.67
2025-04-15 15:00:00,16.72,52,994,4.67
2025-04-15 18:00:00,12.29,83,996,4.09
2025-04-15 21:00:00,8.18,76,998,6.17
2025-04-16 00:00:00,6.86,79,1001,5.51
2025-04-16 03:00:00,7.16,69,1003,4.15
2025-04-16 06:00:00,6.06,75,1006,3.2
2025-04-16 09:00:00,10.88,51,1007,4.12
2025-04-16 12:00:00,14.33,34,1008,3.78
2025-04-16 15:00:00,15.32,29,1009,4.26
2025-04-16 18:00:00,12.67,46,1011,4.16
2025-04-16 21:00:00,9.3,63,1012,1.39
2025-04-17 00:00:00,8.04,61,1013,1.35
2025-04-17 03:00:00,6.91,59,1012,1.82
2025-04-17 06:00:00,7.1,62,1012,3.12
2025-04-17 09:00:00,11.91,62,1012,5.37
2025-04-17 12:00:00,14.28,45,1011,6.29
2025-04-17 15:00:00,13.24,60,1010,6.12
2025-04-17 18:00:00,12.1,55,1011,4.52
2025-04-17 21:00:00,9.52,70,1012,3.06
2025-04-18 00:00:00,9.95,69,1012,2.04
2025-04-18 03:00:00,9.79,71,1011,1.88
2025-04-18 06:00:00,9.49,86,1010,2.56
2025-04-18 09:00:00,9.54,93,1010,3.95
2025-04-18 12:00:00,10.18,93,1009,3.92
2025-04-18 15:00:00,10.29,96,1008,3.57
2025-04-18 18:00:00,10.07,96,1007,2.99
2025-04-18 21:00:00,9.22,97,1006,1.7
